"code","intitule","intituleSansArticle"
33001,"Abzac","Abzac"
33002,"Aillas","Aillas"
33003,"Ambarès-et-Lagrave","Ambarès-et-Lagrave"
33004,"Ambès","Ambès"
33005,"Andernos-les-Bains","Andernos-les-Bains"
33006,"Anglade","Anglade"
33007,"Arbanats","Arbanats"
33008,"Porte-de-Benauge","Porte-de-Benauge"
33009,"Arcachon","Arcachon"
33010,"Arcins","Arcins"
33011,"Arès","Arès"
33012,"Arsac","Arsac"
33013,"Artigues-près-Bordeaux","Artigues-près-Bordeaux"
33014,"Les Artigues-de-Lussac","Artigues-de-Lussac"
33015,"Arveyres","Arveyres"
33016,"Asques","Asques"
33017,"Aubiac","Aubiac"
33018,"Val de Virvée","Val de Virvée"
33019,"Audenge","Audenge"
33020,"Auriolles","Auriolles"
33021,"Auros","Auros"
33022,"Avensan","Avensan"
33023,"Ayguemorte-les-Graves","Ayguemorte-les-Graves"
33024,"Bagas","Bagas"
33025,"Baigneaux","Baigneaux"
33026,"Balizac","Balizac"
33027,"Barie","Barie"
33028,"Baron","Baron"
33029,"Le Barp","Barp"
33030,"Barsac","Barsac"
33031,"Bassanne","Bassanne"
33032,"Bassens","Bassens"
33033,"Baurech","Baurech"
33034,"Bayas","Bayas"
33035,"Bayon-sur-Gironde","Bayon-sur-Gironde"
33036,"Bazas","Bazas"
33037,"Beautiran","Beautiran"
33038,"Bégadan","Bégadan"
33039,"Bègles","Bègles"
33040,"Béguey","Béguey"
33042,"Belin-Béliet","Belin-Béliet"
33043,"Bellebat","Bellebat"
33044,"Bellefond","Bellefond"
33045,"Belvès-de-Castillon","Belvès-de-Castillon"
33046,"Bernos-Beaulac","Bernos-Beaulac"
33047,"Berson","Berson"
33048,"Berthez","Berthez"
33049,"Beychac-et-Caillau","Beychac-et-Caillau"
33050,"Bieujac","Bieujac"
33051,"Biganos","Biganos"
33052,"Les Billaux","Billaux"
33053,"Birac","Birac"
33054,"Blaignac","Blaignac"
33055,"Blaignan-Prignac","Blaignan-Prignac"
33056,"Blanquefort","Blanquefort"
33057,"Blasimon","Blasimon"
33058,"Blaye","Blaye"
33059,"Blésignac","Blésignac"
33060,"Bommes","Bommes"
33061,"Bonnetan","Bonnetan"
33062,"Bonzac","Bonzac"
33063,"Bordeaux","Bordeaux"
33064,"Bossugan","Bossugan"
33065,"Bouliac","Bouliac"
33066,"Bourdelles","Bourdelles"
33067,"Bourg","Bourg"
33068,"Bourideys","Bourideys"
33069,"Le Bouscat","Bouscat"
33070,"Brach","Brach"
33071,"Branne","Branne"
33072,"Brannens","Brannens"
33073,"Braud-et-Saint-Louis","Braud-et-Saint-Louis"
33074,"Brouqueyran","Brouqueyran"
33075,"Bruges","Bruges"
33076,"Budos","Budos"
33077,"Cabanac-et-Villagrains","Cabanac-et-Villagrains"
33078,"Cabara","Cabara"
33079,"Cadarsac","Cadarsac"
33080,"Cadaujac","Cadaujac"
33081,"Cadillac-sur-Garonne","Cadillac-sur-Garonne"
33082,"Cadillac-en-Fronsadais","Cadillac-en-Fronsadais"
33083,"Camarsac","Camarsac"
33084,"Cambes","Cambes"
33085,"Camblanes-et-Meynac","Camblanes-et-Meynac"
33086,"Camiac-et-Saint-Denis","Camiac-et-Saint-Denis"
33087,"Camiran","Camiran"
33088,"Camps-sur-l'Isle","Camps-sur-l'Isle"
33089,"Campugnan","Campugnan"
33090,"Canéjan","Canéjan"
33093,"Capian","Capian"
33094,"Caplong","Caplong"
33095,"Captieux","Captieux"
33096,"Carbon-Blanc","Carbon-Blanc"
33097,"Carcans","Carcans"
33098,"Cardan","Cardan"
33099,"Carignan-de-Bordeaux","Carignan-de-Bordeaux"
33100,"Cars","Cars"
33101,"Cartelègue","Cartelègue"
33102,"Casseuil","Casseuil"
33103,"Castelmoron-d'Albret","Castelmoron-d'Albret"
33104,"Castelnau-de-Médoc","Castelnau-de-Médoc"
33105,"Castelviel","Castelviel"
33106,"Castets et Castillon","Castets et Castillon"
33108,"Castillon-la-Bataille","Castillon-la-Bataille"
33109,"Castres-Gironde","Castres-Gironde"
33111,"Caudrot","Caudrot"
33112,"Caumont","Caumont"
33113,"Cauvignac","Cauvignac"
33114,"Cavignac","Cavignac"
33115,"Cazalis","Cazalis"
33116,"Cazats","Cazats"
33117,"Cazaugitat","Cazaugitat"
33118,"Cénac","Cénac"
33119,"Cenon","Cenon"
33120,"Cérons","Cérons"
33121,"Cessac","Cessac"
33122,"Cestas","Cestas"
33123,"Cézac","Cézac"
33124,"Chamadelle","Chamadelle"
33125,"Cissac-Médoc","Cissac-Médoc"
33126,"Civrac-de-Blaye","Civrac-de-Blaye"
33127,"Civrac-sur-Dordogne","Civrac-sur-Dordogne"
33128,"Civrac-en-Médoc","Civrac-en-Médoc"
33129,"Cleyrac","Cleyrac"
33130,"Coimères","Coimères"
33131,"Coirac","Coirac"
33132,"Comps","Comps"
33133,"Coubeyrac","Coubeyrac"
33134,"Couquèques","Couquèques"
33135,"Courpiac","Courpiac"
33136,"Cours-de-Monségur","Cours-de-Monségur"
33137,"Cours-les-Bains","Cours-les-Bains"
33138,"Coutras","Coutras"
33139,"Coutures","Coutures"
33140,"Créon","Créon"
33141,"Croignon","Croignon"
33142,"Cubnezais","Cubnezais"
33143,"Cubzac-les-Ponts","Cubzac-les-Ponts"
33144,"Cudos","Cudos"
33145,"Cursan","Cursan"
33146,"Cussac-Fort-Médoc","Cussac-Fort-Médoc"
33147,"Daignac","Daignac"
33148,"Dardenac","Dardenac"
33149,"Daubèze","Daubèze"
33150,"Dieulivol","Dieulivol"
33151,"Donnezac","Donnezac"
33152,"Donzac","Donzac"
33153,"Doulezon","Doulezon"
33154,"Les Églisottes-et-Chalaures","Églisottes-et-Chalaures"
33155,"Escaudes","Escaudes"
33156,"Escoussans","Escoussans"
33157,"Espiet","Espiet"
33158,"Les Esseintes","Esseintes"
33159,"Étauliers","Étauliers"
33160,"Eynesse","Eynesse"
33161,"Eyrans","Eyrans"
33162,"Eysines","Eysines"
33163,"Faleyras","Faleyras"
33164,"Fargues","Fargues"
33165,"Fargues-Saint-Hilaire","Fargues-Saint-Hilaire"
33166,"Le Fieu","Fieu"
33167,"Floirac","Floirac"
33168,"Flaujagues","Flaujagues"
33169,"Floudès","Floudès"
33170,"Fontet","Fontet"
33171,"Fossès-et-Baleyssac","Fossès-et-Baleyssac"
33172,"Fours","Fours"
33173,"Francs","Francs"
33174,"Fronsac","Fronsac"
33175,"Frontenac","Frontenac"
33176,"Gabarnac","Gabarnac"
33177,"Gaillan-en-Médoc","Gaillan-en-Médoc"
33178,"Gajac","Gajac"
33179,"Galgon","Galgon"
33180,"Gans","Gans"
33181,"Gardegan-et-Tourtirac","Gardegan-et-Tourtirac"
33182,"Gauriac","Gauriac"
33183,"Gauriaguet","Gauriaguet"
33184,"Générac","Générac"
33185,"Génissac","Génissac"
33186,"Gensac","Gensac"
33187,"Gironde-sur-Dropt","Gironde-sur-Dropt"
33188,"Giscos","Giscos"
33189,"Gornac","Gornac"
33190,"Goualade","Goualade"
33191,"Gours","Gours"
33192,"Gradignan","Gradignan"
33193,"Grayan-et-l'Hôpital","Grayan-et-l'Hôpital"
33194,"Grézillac","Grézillac"
33195,"Grignols","Grignols"
33196,"Guillac","Guillac"
33197,"Guillos","Guillos"
33198,"Guîtres","Guîtres"
33199,"Gujan-Mestras","Gujan-Mestras"
33200,"Le Haillan","Haillan"
33201,"Haux","Haux"
33202,"Hostens","Hostens"
33203,"Hourtin","Hourtin"
33204,"Hure","Hure"
33205,"Illats","Illats"
33206,"Isle-Saint-Georges","Isle-Saint-Georges"
33207,"Izon","Izon"
33208,"Jau-Dignac-et-Loirac","Jau-Dignac-et-Loirac"
33209,"Jugazan","Jugazan"
33210,"Juillac","Juillac"
33211,"Labarde","Labarde"
33212,"Labescau","Labescau"
33213,"La Brède","Brède"
33214,"Lacanau","Lacanau"
33215,"Ladaux","Ladaux"
33216,"Lados","Lados"
33218,"Lagorce","Lagorce"
33219,"La Lande-de-Fronsac","Lande-de-Fronsac"
33220,"Lamarque","Lamarque"
33221,"Lamothe-Landerron","Lamothe-Landerron"
33222,"Lalande-de-Pomerol","Lalande-de-Pomerol"
33223,"Landerrouat","Landerrouat"
33224,"Landerrouet-sur-Ségur","Landerrouet-sur-Ségur"
33225,"Landiras","Landiras"
33226,"Langoiran","Langoiran"
33227,"Langon","Langon"
33228,"Lansac","Lansac"
33229,"Lanton","Lanton"
33230,"Lapouyade","Lapouyade"
33231,"Laroque","Laroque"
33232,"Lartigue","Lartigue"
33233,"Laruscade","Laruscade"
33234,"Latresne","Latresne"
33235,"Lavazan","Lavazan"
33236,"Lège-Cap-Ferret","Lège-Cap-Ferret"
33237,"Léogeats","Léogeats"
33238,"Léognan","Léognan"
33239,"Lerm-et-Musset","Lerm-et-Musset"
33240,"Lesparre-Médoc","Lesparre-Médoc"
33241,"Lestiac-sur-Garonne","Lestiac-sur-Garonne"
33242,"Les Lèves-et-Thoumeyragues","Lèves-et-Thoumeyragues"
33243,"Libourne","Libourne"
33244,"Lignan-de-Bazas","Lignan-de-Bazas"
33245,"Lignan-de-Bordeaux","Lignan-de-Bordeaux"
33246,"Ligueux","Ligueux"
33247,"Listrac-de-Durèze","Listrac-de-Durèze"
33248,"Listrac-Médoc","Listrac-Médoc"
33249,"Lormont","Lormont"
33250,"Loubens","Loubens"
33251,"Louchats","Louchats"
33252,"Loupes","Loupes"
33253,"Loupiac","Loupiac"
33254,"Loupiac-de-la-Réole","Loupiac-de-la-Réole"
33255,"Lucmau","Lucmau"
33256,"Ludon-Médoc","Ludon-Médoc"
33257,"Lugaignac","Lugaignac"
33258,"Lugasson","Lugasson"
33259,"Lugon-et-l'Île-du-Carnay","Lugon-et-l'Île-du-Carnay"
33260,"Lugos","Lugos"
33261,"Lussac","Lussac"
33262,"Macau","Macau"
33263,"Madirac","Madirac"
33264,"Maransin","Maransin"
33266,"Marcenais","Marcenais"
33268,"Margaux-Cantenac","Margaux-Cantenac"
33269,"Margueron","Margueron"
33270,"Marimbault","Marimbault"
33271,"Marions","Marions"
33272,"Marsas","Marsas"
33273,"Martignas-sur-Jalle","Martignas-sur-Jalle"
33274,"Martillac","Martillac"
33275,"Martres","Martres"
33276,"Masseilles","Masseilles"
33277,"Massugas","Massugas"
33278,"Mauriac","Mauriac"
33279,"Mazères","Mazères"
33280,"Mazion","Mazion"
33281,"Mérignac","Mérignac"
33282,"Mérignas","Mérignas"
33283,"Mesterrieux","Mesterrieux"
33284,"Mios","Mios"
33285,"Mombrier","Mombrier"
33287,"Mongauzy","Mongauzy"
33288,"Monprimblanc","Monprimblanc"
33289,"Monségur","Monségur"
33290,"Montagne","Montagne"
33291,"Montagoudin","Montagoudin"
33292,"Montignac","Montignac"
33293,"Montussan","Montussan"
33294,"Morizès","Morizès"
33295,"Mouillac","Mouillac"
33296,"Mouliets-et-Villemartin","Mouliets-et-Villemartin"
33297,"Moulis-en-Médoc","Moulis-en-Médoc"
33298,"Moulon","Moulon"
33299,"Mourens","Mourens"
33300,"Naujac-sur-Mer","Naujac-sur-Mer"
33301,"Naujan-et-Postiac","Naujan-et-Postiac"
33302,"Néac","Néac"
33303,"Nérigean","Nérigean"
33304,"Neuffons","Neuffons"
33305,"Le Nizan","Nizan"
33306,"Noaillac","Noaillac"
