"LONGITUDE","LATITUDE","TYPEQU"
"-0.5922511","44.8360527","historic"
"-0.3123733","44.821725","historic"
"-0.6809058","45.0059715","historic"
"-0.676988","45.0011288","historic"
"-0.6917595","44.9948407","historic"
"-0.6809331","45.0360746","historic"
"-0.678851","45.0407516","historic"
"-0.2492149","44.55436","historic"
"-0.5263118","44.6821601","historic"
"-0.5274265","44.6809272","historic"
"-0.0881953","44.6907405","historic"
"-0.1854551","45.2164071","historic"
"-0.1880134","45.216706","historic"
"-0.4418456","45.4389911","historic"
"-0.4075218","45.2842823","historic"
"-0.0835835","44.6946706","historic"
"-0.9826953","44.6454601","historic"
"-0.2264145","44.5636087","historic"
"-0.5704401","45.3727786","historic"
"-0.3139923","45.0188343","historic"
"-1.1508529","44.662611","historic"
"-0.9085591","45.5345456","historic"
"-0.8312468","45.5847903","historic"
"-0.8333278","45.5830378","historic"
"0.2487489","44.8219674","historic"
"-0.5869282","44.731364","historic"
"-0.5691264","44.7452647","historic"
"-0.562681","44.7537377","historic"
"-0.6092871","44.725693","historic"
"-0.6072388","44.7138397","historic"
"-0.602603","44.7223237","historic"
"-0.6315065","44.7454476","historic"
"-0.5488087","44.7463011","historic"
"-0.6519298","44.9615953","historic"
"-0.7666745","44.8750933","historic"
"-0.6308118","44.8054902","historic"
"-1.1613943","44.6582479","historic"
"0.2691917","44.7856295","historic"
"-0.97651","45.3630388","historic"
"-1.1538941","44.5761633","historic"
"-1.1538644","44.5766495","historic"
"-0.6097126","44.7158262","historic"
"-1.1643981","44.6336936","historic"
"-0.7684572","45.2152779","historic"
"-0.0138082","44.8225181","historic"
"0.0583398","44.8267825","historic"
"-0.4733219","44.8124864","historic"
"-0.5031996","44.8061249","historic"
"-0.3687562","44.4793134","historic"
"-0.468716","44.8466383","leisure"
"-0.5349639","44.868107","historic"
"-0.0415205","44.3939288","historic"
"-0.5038466","44.8042767","historic"
"-0.4983853","44.7863166","historic"
"-0.4966893","44.7844745","historic"
"-0.4846567","44.7862396","historic"
"-0.9577496","45.5610166","historic"
"-0.5787677","44.8385268","historic"
"-0.1251967","44.7781995","historic"
"-0.3054595","44.6593257","historic"
"-0.2406651","44.9139015","historic"
"-1.153644","45.4339338","historic"
"-1.158974","45.418778","historic"
"-1.1535898","45.4332247","historic"
"-1.1538314","45.4334772","historic"
"-1.1532174","45.4333923","historic"
"-1.1537574","45.4335983","historic"
"-1.1599137","45.3983526","historic"
"-1.1598936","45.3978872","historic"
"-1.1601246","45.3979225","historic"
"-0.2601579","44.5785453","historic"
"-0.3642874","44.8327213","historic"
"-1.1411728","44.7999188","historic"
"-0.5319976","44.855335","historic"
"-0.8553503","45.5255858","historic"
"-0.8341029","45.5020985","historic"
"-0.5030593","44.8105006","historic"
"-0.5040629","44.8258946","historic"
"-0.5797885","44.834888","historic"
"-0.040554","44.5846587","historic"
"-0.0345022","44.5797209","historic"
"-0.0684272","44.5714898","historic"
"-0.0677581","44.5726237","historic"
"-0.0141499","44.5534251","historic"
"-0.0290804","44.5625219","historic"
"-0.0393983","44.5828957","historic"
"-0.0418965","44.5814065","historic"
"-0.1873632","44.8317839","historic"
"-0.7670145","44.7397004","historic"
"-0.6471023","44.8419318","historic"
"-0.1221597","44.7280442","historic"
"-0.4398771","44.7581183","historic"
"-1.1971922","45.0027255","historic"
"-1.1485868","44.6310935","historic"
"-0.0189067","44.8515382","historic"
"0.0254316","44.8501085","historic"
"0.1052963","44.8926733","historic"
"0.1359939","44.859924","historic"
"0.0300256","44.878156","historic"
"0.0800828","44.881084","historic"
"-0.2857722","44.8853341","historic"
"0.1632299","45.0100566","historic"
"0.20962","45.0769176","historic"
"-0.012262","44.6795968","historic"
"0.0043585","45.1415718","historic"
"0.0825162","45.1403024","historic"
"0.0806641","45.1421863","historic"
"0.2850274","44.628971","historic"
"0.1006614","45.2179087","historic"
"0.2287548","45.1241838","historic"
"-1.2486329","44.623296","historic"
"0.2050006","45.0158015","historic"
"0.1999085","45.230885","historic"
"0.2228596","45.2344734","historic"
"0.2329868","45.2878163","historic"
"0.2390813","45.192264","historic"
"0.2960649","45.2238283","historic"
"0.284039","45.2214529","historic"
"-0.7821565","45.030407","historic"
"-0.7744172","45.0307118","historic"
"-0.1827114","44.7469774","historic"
"-0.3034761","44.7786374","historic"
"-0.2134776","44.6022799","historic"
"-0.2272291","44.9443672","historic"
"-1.1198106","45.5209323","historic"
"-1.1116638","45.5290601","historic"
"-1.1112445","45.5292809","historic"
"-1.1113076","45.5295217","historic"
"-1.1112579","45.5300561","historic"
"-1.1107929","45.5300727","historic"
"-1.1110057","45.5305502","historic"
"-1.1105644","45.531083","historic"
"-1.109723","45.5313787","historic"
"-1.109438","45.5316954","historic"
"-1.1098772","45.5323785","historic"
"-0.6257741","44.7696959","historic"
"-0.6288747","44.7685001","historic"
"-0.5987701","44.7691784","historic"
"-0.6332441","44.7656362","historic"
"-0.560014","45.0389363","historic"
"-0.555726","45.0402752","historic"
"-0.5583893","45.037806","historic"
"-0.0644203","44.863948","historic"
"-0.8558312","45.5225314","historic"
"-0.6859952","44.7409748","historic"
"-0.5569894","45.1112861","historic"
"-0.586464","45.1267938","historic"
"0.2374103","44.8688421","historic"
"0.2372011","44.8727083","historic"
"-0.4902026","44.9265863","historic"
"-0.5815146","44.7331613","historic"
"0.2602931","44.7912284","historic"
"0.2106697","44.8433509","historic"
"-0.2571455","44.8588192","historic"
"-0.6886436","44.9978417","historic"
"0.1479211","44.6811259","historic"
"0.1247703","44.6901173","historic"
"0.3258723","44.800933","historic"
"0.3171858","44.8088507","historic"
"-0.6561918","44.5265007","historic"
"-0.4411791","45.0269869","historic"
"-0.4363098","45.0304954","historic"
"-0.3017118","44.5786705","historic"
"-0.8033102","45.5416201","historic"
"-0.3938416","44.6760533","historic"
"-0.1916154","44.5714383","historic"
"-0.4110945","44.7812456","historic"
"-0.9611627","44.6310689","historic"
"-0.1917866","45.0380101","historic"
"-0.4296949","44.7971178","historic"
"-0.3247672","44.7923124","historic"
"0.1738827","44.7923222","historic"
"0.0704769","44.8964168","historic"
"0.3387063","44.7620212","historic"
"-0.1546079","44.8931768","historic"
"-0.1545695","44.890814","historic"
"-0.1559523","44.8959412","historic"
"-0.1537148","44.892242","historic"
"-0.1537679","44.8918579","historic"
"0.343051","44.7992736","historic"
"-0.1905757","44.8742914","historic"
"-1.1690524","44.39499","historic"
"0.0385312","45.2715922","historic"
"-0.1381202","45.4079642","historic"
"0.0785633","44.8201324","historic"
"0.3413448","44.7503136","historic"
"-0.3314275","44.950218","historic"
"0.293396","44.7310532","historic"
"-0.1301071","45.0169099","historic"
"-0.1384112","45.0168985","historic"
"-0.127103","45.0170236","historic"
"0.3027679","44.2585887","historic"
"0.2985746","44.2583467","historic"
"0.0567063","44.9196253","historic"
"-0.6067815","44.8508271","historic"
"-0.5831156","44.8372038","historic"
"-0.1865777","44.8301745","historic"
