,LONGITUDE,LATITUDE,TYPEQU
0,-0.556779,44.825172,E108
1,-0.700809,44.8302,E108
2,-0.510071,44.846139,E108
3,-0.553934,44.82975,E108
4,-0.632491,44.804405,E108
5,-0.553785,44.829689,E108
6,-0.632593,44.804366,E108
7,-0.614049,44.870927,E108
8,-0.750991,45.467547,E110
9,-0.724289,45.489543,E110
10,-0.723135,45.487933,E110
11,-1.127137,45.004364,E110
12,-0.543507,44.615868,E110
13,-0.559554,44.832,E110
14,-0.51963,44.729,E110
15,-0.522111,44.72679,E110
16,-0.496521,44.66001,E110
17,-0.584599,44.756447,E110
18,-0.51992,44.729137,E110
19,-0.522214,44.726818,E110
20,-0.533609,44.751984,E110
21,-1.088447,44.888004,E110
22,-1.086102,44.88411,E110
23,-1.087362,44.746014,E110
24,-1.078249,44.752346,E110
25,-0.98877,44.920612,E110
26,-0.445971,44.82725,E110
27,-0.457714,44.706604,E110
28,-0.384063,44.79413,E110
29,-0.553697,44.60641,E110
30,-0.446074,44.827423,E110
31,-0.636176,45.080254,E110
32,-0.583569,45.049095,E110
33,-0.469787,44.943466,E110
34,-0.525455,44.681877,E110
35,-1.074546,44.979946,E110
36,-0.533111,45.015507,E110
37,-0.54922,44.75196,E110
38,-1.135125,45.00249,E110
39,-0.512701,45.003735,E110
40,-0.512052,44.691307,E110
41,-0.527514,45.011936,E110
42,-0.51158,44.68359,E110
43,-0.474217,44.929276,E110
44,-0.555604,44.708694,E110
45,-0.473614,44.932255,E110
46,-0.549291,44.709923,E110
47,-0.48009,44.9196,E110
48,-0.551862,44.71456,E110
49,-0.63916,45.090546,E110
50,-1.076692,44.75424,E110
51,-1.086374,44.88432,E110
52,-1.169187,45.005417,E110
53,-1.195611,45.001774,E110
54,-0.540763,44.737957,E110
55,-0.594494,44.801384,E110
56,-1.145515,44.991432,E110
57,-0.531015,44.738873,E110
58,-1.082861,44.988075,E110
59,-0.362913,44.994614,E110
60,-0.490058,44.90312,E110
61,-0.617645,44.741795,E110
62,-0.581933,45.0733,E110
63,-0.593339,44.80294,E110
64,-0.500231,45.00066,E110
65,-0.596867,44.801052,E110
66,-1.146441,44.99281,E110
67,-0.507121,44.887173,E110
68,-0.592482,44.796402,E110
69,-0.502849,44.891567,E110
70,-0.608263,44.732452,E110
71,-0.496916,44.89735,E110
72,-0.543027,44.745537,E110
73,-0.500658,44.89389,E110
74,-0.378038,44.98176,E110
75,-1.12311,44.83956,E110
76,-1.092199,44.872604,E110
