"codgeo","libgeo","an","dens_pop"
33001,"Abzac",2021,"150.22"
33002,"Aillas",2021,"23.42"
33003,"Ambarès-et-Lagrave",2021,"677.34"
33004,"Ambès",2021,"110.97"
33005,"Andernos-les-Bains",2021,"623.6"
33006,"Anglade",2021,"65.65"
33007,"Arbanats",2021,"178.03"
33008,"Porte-de-Benauge",2021,"29.94"
33009,"Arcachon",2021,"1481.45"
33010,"Arcins",2021,"80.29"
33011,"Arès",2021,"133.63"
33012,"Arsac",2021,"121.35"
33013,"Artigues-près-Bordeaux",2021,"1184.25"
33014,"Les Artigues-de-Lussac",2021,"109.22"
33015,"Arveyres",2021,"117.28"
33016,"Asques",2021,"68.73"
33017,"Aubiac",2021,"50.54"
33018,"Val de Virvée",2021,"178.12"
33019,"Audenge",2021,"114.14"
33020,"Auriolles",2021,"19.86"
33021,"Auros",2021,"68.43"
33022,"Avensan",2021,"58.93"
33023,"Ayguemorte-les-Graves",2021,"221.27"
33024,"Bagas",2021,"81.11"
33025,"Baigneaux",2021,"56.33"
33026,"Balizac",2021,"12.25"
33027,"Barie",2021,"53.02"
33028,"Baron",2021,"115.83"
33029,"Le Barp",2021,"52.69"
33030,"Barsac",2021,"142.41"
33031,"Bassanne",2021,"52.4"
33032,"Bassens",2021,"761.36"
33033,"Baurech",2021,"125.32"
33034,"Bayas",2021,"42.41"
33035,"Bayon-sur-Gironde",2021,"128.42"
33036,"Bazas",2021,"128.66"
33037,"Beautiran",2021,"387.78"
33038,"Bégadan",2021,"40.77"
33039,"Bègles",2021,"3081.3"
33040,"Béguey",2021,"377.5"
33042,"Belin-Béliet",2021,"38.71"
33043,"Bellebat",2021,"65.92"
33044,"Bellefond",2021,"66.88"
33045,"Belvès-de-Castillon",2021,"50.3"
33046,"Bernos-Beaulac",2021,"30.87"
33047,"Berson",2021,"101.17"
33048,"Berthez",2021,"46.67"
33049,"Beychac-et-Caillau",2021,"166.03"
33050,"Bieujac",2021,"93.57"
33051,"Biganos",2021,"210.53"
33052,"Les Billaux",2021,"184.92"
33053,"Birac",2021,"22.84"
33054,"Blaignac",2021,"95.31"
33055,"Blaignan-Prignac",2021,"31.75"
33056,"Blanquefort",2021,"474.9"
33057,"Blasimon",2021,"31.54"
33058,"Blaye",2021,"774.53"
33059,"Blésignac",2021,124
33060,"Bommes",2021,"76.21"
33061,"Bonnetan",2021,"238.14"
33062,"Bonzac",2021,"103.73"
33063,"Bordeaux",2021,"5299.68"
33064,"Bossugan",2021,"17.08"
33065,"Bouliac",2021,"503.07"
33066,"Bourdelles",2021,"13.52"
33067,"Bourg",2021,"217.43"
33068,"Bourideys",2021,"2.02"
33069,"Le Bouscat",2021,"4592.26"
33070,"Brach",2021,"29.69"
33071,"Branne",2021,"545.42"
33072,"Brannens",2021,40
33073,"Braud-et-Saint-Louis",2021,"30.69"
33074,"Brouqueyran",2021,"35.44"
33075,"Bruges",2021,"1423.59"
33076,"Budos",2021,"38.53"
33077,"Cabanac-et-Villagrains",2021,"34.84"
33078,"Cabara",2021,"145.29"
33079,"Cadarsac",2021,"150.87"
33080,"Cadaujac",2021,"436.01"
33081,"Cadillac-sur-Garonne",2021,"515.74"
33082,"Cadillac-en-Fronsadais",2021,"353.95"
33083,"Camarsac",2021,"192.83"
33084,"Cambes",2021,"341.51"
33085,"Camblanes-et-Meynac",2021,"355.52"
33086,"Camiac-et-Saint-Denis",2021,"54.85"
33087,"Camiran",2021,"71.72"
33088,"Camps-sur-l'Isle",2021,"206.33"
33089,"Campugnan",2021,"82.74"
33090,"Canéjan",2021,493
33093,"Capian",2021,"43.24"
33094,"Caplong",2021,"25.27"
33095,"Captieux",2021,"11.2"
33096,"Carbon-Blanc",2021,"2128.21"
33097,"Carcans",2021,"13.79"
33098,"Cardan",2021,"122.62"
33099,"Carignan-de-Bordeaux",2021,"481.48"
33100,"Cars",2021,"109.1"
33101,"Cartelègue",2021,"110.61"
33102,"Casseuil",2021,"59.21"
33103,"Castelmoron-d'Albret",2021,"1325.0"
33104,"Castelnau-de-Médoc",2021,"202.05"
33105,"Castelviel",2021,26
33106,"Castets et Castillon",2021,"114.62"
33108,"Castillon-la-Bataille",2021,"575.26"
33109,"Castres-Gironde",2021,"367.86"
33111,"Caudrot",2021,"181.31"
33112,"Caumont",2021,"18.03"
33113,"Cauvignac",2021,"26.18"
33114,"Cavignac",2021,"361.82"
33115,"Cazalis",2021,"5.17"
33116,"Cazats",2021,"53.47"
33117,"Cazaugitat",2021,"14.9"
33118,"Cénac",2021,"284.13"
33119,"Cenon",2021,"4868.73"
33120,"Cérons",2021,"273.33"
33121,"Cessac",2021,"54.17"
33122,"Cestas",2021,"168.56"
33123,"Cézac",2021,"140.31"
33124,"Chamadelle",2021,"47.19"
33125,"Cissac-Médoc",2021,"95.85"
33126,"Civrac-de-Blaye",2021,"61.97"
33127,"Civrac-sur-Dordogne",2021,"113.68"
33128,"Civrac-en-Médoc",2021,"34.73"
33129,"Cleyrac",2021,"24.75"
33130,"Coimères",2021,"83.18"
33131,"Coirac",2021,"37.07"
33132,"Comps",2021,"321.18"
33133,"Coubeyrac",2021,"12.68"
33134,"Couquèques",2021,"42.22"
33135,"Courpiac",2021,"56.36"
33136,"Cours-de-Monségur",2021,"26.67"
33137,"Cours-les-Bains",2021,"21.25"
33138,"Coutras",2021,"257.24"
33139,"Coutures",2021,"27.94"
33140,"Créon",2021,610
33141,"Croignon",2021,"159.78"
33142,"Cubnezais",2021,"175.44"
33143,"Cubzac-les-Ponts",2021,290
33144,"Cudos",2021,"23.1"
33145,"Cursan",2021,"108.85"
33146,"Cussac-Fort-Médoc",2021,"131.78"
33147,"Daignac",2021,"81.93"
33148,"Dardenac",2021,"60.67"
33149,"Daubèze",2021,"26.96"
33150,"Dieulivol",2021,"32.1"
33151,"Donnezac",2021,"25.89"
33152,"Donzac",2021,"27.05"
33153,"Doulezon",2021,"36.62"
33154,"Les Églisottes-et-Chalaures",2021,"124.83"
33155,"Escaudes",2021,"6.28"
33156,"Escoussans",2021,"54.71"
33157,"Espiet",2021,"112.35"
33158,"Les Esseintes",2021,"47.06"
33159,"Étauliers",2021,118
33160,"Eynesse",2021,"79.08"
33161,"Eyrans",2021,"175.12"
33162,"Eysines",2021,"2031.17"
33163,"Faleyras",2021,"40.96"
33164,"Fargues",2021,"104.74"
33165,"Fargues-Saint-Hilaire",2021,"486.29"
33166,"Le Fieu",2021,"33.81"
33167,"Floirac",2021,"2040.11"
33168,"Flaujagues",2021,"77.18"
33169,"Floudès",2021,"29.46"
33170,"Fontet",2021,"98.44"
33171,"Fossès-et-Baleyssac",2021,"24.04"
33172,"Fours",2021,"58.91"
33173,"Francs",2021,"27.58"
33174,"Fronsac",2021,"73.2"
33175,"Frontenac",2021,"53.26"
33176,"Gabarnac",2021,"68.46"
33177,"Gaillan-en-Médoc",2021,"56.31"
33178,"Gajac",2021,"30.16"
33179,"Galgon",2021,"201.18"
33180,"Gans",2021,"28.14"
33181,"Gardegan-et-Tourtirac",2021,"28.75"
33182,"Gauriac",2021,"129.82"
33183,"Gauriaguet",2021,"273.7"
33184,"Générac",2021,"58.3"
33185,"Génissac",2021,"154.38"
33186,"Gensac",2021,"73.19"
33187,"Gironde-sur-Dropt",2021,"148.98"
33188,"Giscos",2021,"5.7"
33189,"Gornac",2021,"52.89"
33190,"Goualade",2021,"5.65"
33191,"Gours",2021,"68.86"
33192,"Gradignan",2021,"1635.13"
33193,"Grayan-et-l'Hôpital",2021,"33.96"
33194,"Grézillac",2021,"87.69"
33195,"Grignols",2021,"52.95"
33196,"Guillac",2021,"53.23"
33197,"Guillos",2021,20
33198,"Guîtres",2021,"324.4"
33199,"Gujan-Mestras",2021,"414.8"
33200,"Le Haillan",2021,"1244.3"
33201,"Haux",2021,"82.06"
33202,"Hostens",2021,"25.83"
33203,"Hourtin",2021,"20.91"
33204,"Hure",2021,"78.73"
33205,"Illats",2021,"47.5"
33206,"Isle-Saint-Georges",2021,"120.93"
33207,"Izon",2021,"405.13"
33208,"Jau-Dignac-et-Loirac",2021,"23.2"
33209,"Jugazan",2021,"49.64"
33210,"Juillac",2021,"37.29"
33211,"Labarde",2021,"127.08"
33212,"Labescau",2021,"21.17"
33213,"La Brède",2021,"191.8"
33214,"Lacanau",2021,"23.51"
33215,"Ladaux",2021,"43.95"
33216,"Lados",2021,"27.08"
33218,"Lagorce",2021,"56.7"
33219,"La Lande-de-Fronsac",2021,"312.82"
33220,"Lamarque",2021,"150.22"
33221,"Lamothe-Landerron",2021,"121.85"
33222,"Lalande-de-Pomerol",2021,"78.41"
33223,"Landerrouat",2021,"45.2"
33224,"Landerrouet-sur-Ségur",2021,"32.9"
33225,"Landiras",2021,"36.64"
33226,"Langoiran",2021,"216.93"
33227,"Langon",2021,"536.13"
33228,"Lansac",2021,"112.33"
33229,"Lanton",2021,"53.42"
33230,"Lapouyade",2021,"20.58"
33231,"Laroque",2021,96
33232,"Lartigue",2021,"2.94"
33233,"Laruscade",2021,"60.13"
33234,"Latresne",2021,"349.9"
33235,"Lavazan",2021,"25.44"
