"INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"33001","2020",15,15,0,100,0,160000,"1804.4",93
"33002","2020",17,17,0,100,0,"211864.705882353","1701.76470588235","134.352941176471"
"33003","2020",161,139,22,"86.3354037267081","13.6645962732919","230421.211180124","2511.70807453416","95.5341614906832"
"33004","2020",23,22,1,"95.6521739130435","4.34782608695652","188291.304347826","2288.82608695652","86.6521739130435"
"33005","2020",256,198,58,"77.34375","22.65625","399849.234375","4865.2734375","88.16015625"
"33006","2020",14,14,0,100,0,"133771.428571429","1398.28571428571","103.642857142857"
"33007","2020",17,17,0,100,0,"290190.470588235","2495.35294117647","117.294117647059"
"33008","2020",3,3,0,100,0,134000,1214,109
"33009","2020",563,168,395,"29.8401420959147","70.1598579040853","469947.957371226","6984.37655417407","68.1829484902309"
"33010","2020",9,9,0,100,0,"203728.333333333","2163.33333333333","93.2222222222222"
"33011","2020",159,121,38,"76.1006289308176","23.8993710691824","333357.427672956","4224.3144654088","81.6100628930818"
"33012","2020",42,41,1,"97.6190476190476","2.38095238095238","337255.595238095","2994.38095238095","115.738095238095"
"33013","2020",79,61,18,"77.2151898734177","22.7848101265823","311850.493670886",3407,"95.7721518987342"
"33014","2020",15,15,0,100,0,"239682.333333333","1794.46666666667","132.533333333333"
"33015","2020",17,16,1,"94.1176470588235","5.88235294117647","264733.529411765","2690.52941176471",105
"33016","2020",6,6,0,100,0,"299141.666666667","2069.33333333333",154
"33017","2020",5,5,0,100,0,162760,"1898.8","91.6"
"33018","2020",38,35,3,"92.1052631578947","7.89473684210526","201965.5","2137.81578947368","101.5"
"33019","2020",152,111,41,"73.0263157894737","26.9736842105263","283066.046052632","3208.69078947368","89.2039473684211"
"33021","2020",12,12,0,100,0,"159080.833333333","1672.41666666667","95.25"
"33022","2020",41,41,0,100,0,"254928.658536585",2588,"102.707317073171"
"33023","2020",6,6,0,100,0,236100,"2195.83333333333","112.5"
"33024","2020",7,7,0,100,0,"183657.142857143","1379.71428571429",137
"33025","2020",3,3,0,100,0,"200966.666666667","1802.66666666667","118.333333333333"
"33026","2020",10,10,0,100,0,"218331.9","1775.6",124
"33027","2020",3,3,0,100,0,"222666.666666667","1441.66666666667",155
"33028","2020",13,13,0,100,0,"285606.153846154","2481.30769230769","120.846153846154"
"33029","2020",67,55,12,"82.089552238806","17.910447761194","265193.850746269","2835.91044776119","96.8059701492537"
"33030","2020",29,24,5,"82.7586206896552","17.2413793103448","254014.586206897","2395.03448275862","104.620689655172"
"33031","2020",4,4,0,100,0,181875,1856,"103.5"
"33032","2020",61,51,10,"83.6065573770492","16.3934426229508","228173.278688525","2955.01639344262","81.344262295082"
